Season,League,Champion,MVP,MVP Age,MVP Team,MVP Country,ROTY,ROTY Age,ROTY Team,ROTY Country,Points Leader,Points,Pts Age,Pts Team,Pts Country,Rebounds Leader,Rebounds,Rb Age,Rb Team,Rb Country,Assists Leader,Assists,Ast Age,Ast Team,Ast Country,Win Shares Leader,Win Shares,WS Age,WS Team,WS Country
2009-10,NBA,Los Angeles Lakers,L. James,26.0,Cleveland Cavaliers,United States,T. Evans,21.0,Sacramento Kings,United States,K. Durant,2472,22,Oklahoma City Thunder,United States,D. Howard,1082.0,25.0,Orlando Magic,United States,S. Nash,892,36,Phoenix Suns,South Africa,L. James,18.0,26,Cleveland Cavaliers,United States
2008-09,NBA,Los Angeles Lakers,L. James,25.0,Cleveland Cavaliers,United States,D. Rose,21.0,Chicago Bulls,United States,D. Wade,2386,27,Miami Heat,United States,D. Howard,1093.0,24.0,Orlando Magic,United States,C. Paul,861,24,New Orleans Hornets,United States,L. James,20.0,25,Cleveland Cavaliers,United States
2007-08,NBA,Boston Celtics,K. Bryant,30.0,Los Angeles Lakers,United States,K. Durant,20.0,Seattle Supersonics,United States,K. Bryant,2323,30,Los Angeles Lakers,United States,D. Howard,1161.0,23.0,Orlando Magic,United States,C. Paul,925,23,New Orleans Hornets,United States,C. Paul,17.0,23,New Orleans Hornets,United States
2006-07,NBA,San Antonio Spurs,D. Nowitzki,29.0,Dallas Mavericks,Germany,B. Roy,23.0,Portland Trail Blazers,United States,K. Bryant,2430,29,Los Angeles Lakers,United States,D. Howard,1008.0,22.0,Orlando Magic,United States,S. Nash,884,33,Phoenix Suns,South Africa,D. Nowitzki,16.0,29,Dallas Mavericks,Germany
2005-06,NBA,Miami Heat,S. Nash,32.0,Phoenix Suns,South Africa,C. Paul,21.0,New Orleans/Oklahoma City Hornets,United States,K. Bryant,2832,28,Los Angeles Lakers,United States,D. Howard,1022.0,21.0,Orlando Magic,United States,S. Nash,826,32,Phoenix Suns,South Africa,D. Nowitzki,17.0,28,Dallas Mavericks,Germany
2004-05,NBA,San Antonio Spurs,S. Nash,31.0,Phoenix Suns,South Africa,E. Okafor,23.0,Charlotte Hornets,United States,A. Iverson,2302,30,Philadelphia 76ers,United States,K. Garnett,1108.0,29.0,Minnesota Timberwolves,United States,S. Nash,861,31,Phoenix Suns,South Africa,K. Garnett,16.0,29,Minnesota Timberwolves,United States
2003-04,NBA,Detroit Pistons,K. Garnett,28.0,Minnesota Timberwolves,United States,L. James,20.0,Cleveland Cavaliers,United States,K. Garnett,1987,28,Minnesota Timberwolves,United States,K. Garnett,1139.0,28.0,Minnesota Timberwolves,United States,S. Marbury,719,27,Multiple Teams,United States,K. Garnett,18.0,28,Minnesota Timberwolves,United States
2002-03,NBA,San Antonio Spurs,T. Duncan,27.0,San Antonio Spurs,U.S. Virgin Islands,A. Stoudemire,21.0,Phoenix Suns,United States,K. Bryant,2461,25,Los Angeles Lakers,United States,B. Wallace,1126.0,29.0,Detroit Pistons,United States,J. Kidd,711,30,New Jersey Nets,United States,T. Duncan,16.0,27,San Antonio Spurs,U.S. Virgin Islands
2001-02,NBA,Los Angeles Lakers,T. Duncan,26.0,San Antonio Spurs,U.S. Virgin Islands,P. Gasol,22.0,Memphis Grizzlies,Spain,P. Pierce,2144,25,Boston Celtics,United States,T. Duncan,1042.0,26.0,San Antonio Spurs,U.S. Virgin Islands,A. Miller,882,26,Cleveland Cavaliers,United States,T. Duncan,17.0,26,San Antonio Spurs,U.S. Virgin Islands
2000-01,NBA,Los Angeles Lakers,A. Iverson,26.0,Philadelphia 76ers,United States,M. Miller,21.0,Orlando Magic,United States,J. Stackhouse,2380,27,Detroit Pistons,United States,B. Wallace,1052.0,27.0,Detroit Pistons,United States,J. Kidd,753,28,Phoenix Suns,United States,S. O'Neal,14.0,29,Los Angeles Lakers,United States
