Season,League,Champion,MVP,MVP Age,MVP Team,MVP Country,ROTY,ROTY Age,ROTY Team,ROTY Country,Points Leader,Points,Pts Age,Pts Team,Pts Country,Rebounds Leader,Rebounds,Rb Age,Rb Team,Rb Country,Assists Leader,Assists,Ast Age,Ast Team,Ast Country,Win Shares Leader,Win Shares,WS Age,WS Team,WS Country
1970-71,NBA,Milwaukee Bucks,K. Abdul-Jabbar,24.0,MIL,United States,"D. Cowens, G. Petrie",23.0,BOS,United States,K. Abdul-Jabbar,2596,24,MIL,United States,W. Chamberlain,1493.0,35.0,PHW,United States,N. Van Lier,832,24,CIN,United States,K. Abdul-Jabbar,22.0,24,MIL,United States
1970-71,ABA,Utah Stars,M. Daniels,27.0,INA,United States,"D. Issel, C. Scott",23.0,KEN,United States,D. Issel,2480,23,KEN,United States,M. Daniels,1475.0,27.0,INA,United States,B. Melchionni,672,27,NYA,United States,Z. Beaty,16.0,32,UTS,United States
1969-70,NBA,New York Knicks,W. Reed,28.0,NYK,United States,K. Abdul-Jabbar,23.0,MIL,United States,K. Abdul-Jabbar,2361,23,MIL,United States,E. Hayes,1386.0,25.0,SDR,United States,L. Wilkens,683,33,STL,United States,J. West,15.0,32,LAL,United States
1969-70,ABA,Indiana Pacers,S. Haywood,21.0,DNR,United States,S. Haywood,21.0,DNR,United States,S. Haywood,2519,21,DNR,United States,S. Haywood,1637.0,21.0,DNR,United States,L. Brown,580,30,WSA,United States,S. Haywood,17.0,21,DNR,United States
1968-69,NBA,Boston Celtics,W. Unseld,23.0,BAL,United States,W. Unseld,23.0,BAL,United States,E. Hayes,2327,24,SDR,United States,W. Chamberlain,1712.0,33.0,PHW,United States,O. Robertson,772,31,CIN,United States,W. Reed,14.0,27,NYK,United States
1968-69,ABA,Oakland Oaks,M. Daniels,25.0,INA,United States,W. Jabali,23.0,OAK,United States,L. Jones,2133,27,DNR,United States,M. Daniels,1256.0,25.0,INA,United States,L. Brown,544,29,OAK,United States,J. Jones,16.0,24,NOB,United States
1967-68,NBA,Boston Celtics,W. Chamberlain,32.0,PHW,United States,E. Monroe,24.0,BAL,United States,D. Bing,2142,25,DET,United States,W. Chamberlain,1952.0,32.0,PHW,United States,W. Chamberlain,702,32,PHW,United States,W. Chamberlain,20.0,32,PHW,United States
1967-68,ABA,Pittsburgh Pipers,C. Hawkins,26.0,PTP,United States,M. Daniels,24.0,MNM,United States,D. Moe,1884,30,NOB,United States,M. Daniels,1213.0,24.0,MNM,United States,L. Brown,506,28,NOB,United States,C. Hawkins,17.0,26,PTP,United States
1966-67,NBA,Philadelphia 76ers,W. Chamberlain,31.0,PHW,United States,D. Bing,24.0,DET,United States,R. Barry,2775,23,SFW,United States,W. Chamberlain,1957.0,31.0,PHW,United States,G. Rodgers,908,32,PHW,United States,W. Chamberlain,21.0,31,PHW,United States
1965-66,NBA,Boston Celtics,W. Chamberlain,30.0,PHW,United States,R. Barry,22.0,SFW,United States,W. Chamberlain,2649,30,PHW,United States,W. Chamberlain,1943.0,30.0,PHW,United States,O. Robertson,847,28,CIN,United States,W. Chamberlain,21.0,30,PHW,United States
